Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,Plot
Broken Promises,Hindi,6.5,2 h 32 min,1995.0,7+,The story follows an aspiring writer who uncovers the truth behind a decades-old mystery in the shadow of a rapidly changing society.
Shattered Glass,Kannada,6.2,2 h 47 min,1991.0,18+,The story follows a retired soldier who discovers a conspiracy that threatens everyone they love during a turbulent political upheaval.
Manoj's Diary,Tamil,7.7,2 h 32 min,2007.0,13+,The story follows a small-time con artist who tries to rebuild their life after tragedy in the years following independence. The narrative builds to an emotional and unforgettable climax.
Maya Chopra,English,4.9,2 h 1 min,1996.0,7+,The story follows an ambitious lawyer who chases a lifelong dream against all odds during a turbulent political upheaval.
Odyssey 2,English,7.7,2 h 32 min,1996.0,18+,The story follows a wealthy businessman who struggles to reconnect with estranged family against the backdrop of a festival season.
Tears of Joy,Marathi,5.5,2 h 40 min,1990.0,7+,The story follows a grieving widow who tries to rebuild their life after tragedy amid the chaos of a natural disaster. Friendships are tested and loyalties are questioned throughout.
Mayhem 3,Tamil,6.6,3 h 7 min,2006.0,All,The story follows a famous chef who seeks revenge after a devastating betrayal across the sprawling countryside.
Khopa 3,Marathi,4.0,1 h 18 min,2015.0,18+,The story follows a struggling artist who fights to protect their community from a powerful enemy across the sprawling countryside.
Chameleon 3,English,6.2,3 h 9 min,2019.0,7+,The story follows a school principal who struggles to reconnect with estranged family in a quiet coastal village.
Loafer,Malayalam,5.8,2 h 12 min,2022.0,16+,The story follows a famous chef who seeks revenge after a devastating betrayal within the walls of a traditional joint family.
Love in Monsoon,Malayalam,6.7,3 h 9 min,1974.0,13+,The story follows a small-time con artist who gets entangled in a dangerous political game amid the chaos of a natural disaster.
Isha's Wedding,Bengali,6.1,1 h 53 min,2008.0,All,The story follows an aspiring writer who battles personal demons while chasing redemption across the sprawling countryside.
Inferno II,English,6.6,3 h 15 min,2017.0,18+,The story follows a rookie police officer who gets entangled in a dangerous political game across the sprawling countryside. The narrative builds to an emotional and unforgettable climax.
Meera Gupta,English,6.2,1 h 50 min,2008.0,7+,The story follows a single mother who seeks revenge after a devastating betrayal in the years following independence.
Horizon,Telugu,6.9,2 h 51 min,1992.0,13+,The story follows a small-town teacher who battles personal demons while chasing redemption across the sprawling countryside.
Love Birds,Tamil,8.3,2 h 2 min,1994.0,18+,The story follows a fishing boat captain who gets entangled in a dangerous political game within the walls of a traditional joint family.
Inferno 2,Telugu,8.0,2 h 18 min,1998.0,18+,"The story follows a college student who chases a lifelong dream against all odds. What unfolds is a tale of courage, sacrifice, and hope."
Horizon,Malayalam,7.9,2 h 19 min,2001.0,13+,The story follows an aspiring writer who must outsmart a ruthless rival to survive in a quiet coastal village.
Raj Verma,English,6.6,3 h 2 min,2011.0,18+,The story follows a small-town teacher who must outsmart a ruthless rival to survive. The journey forces difficult choices with lasting consequences.
Rahul's Revenge,Telugu,5.4,1 h 34 min,2008.0,All,"The story follows a talented dancer who seeks revenge after a devastating betrayal against the backdrop of a festival season. Along the way, unexpected alliances are formed and tested."
Simran's Revenge,Hindi,5.6,1 h 37 min,1980.0,16+,The story follows a school principal who gets entangled in a dangerous political game.
Neha Mehta,Telugu,6.0,1 h 53 min,2020.0,18+,"The story follows a talented dancer who sets out on a journey of self-discovery. What unfolds is a tale of courage, sacrifice, and hope."
Neha's Wedding,Hindi,7.7,1 h 51 min,2005.0,13+,The story follows a wealthy businessman who must outsmart a ruthless rival to survive in the vibrant world of the entertainment industry. Friendships are tested and loyalties are questioned throughout.
Deepa Reddy,English,5.0,1 h 31 min,2018.0,13+,The story follows a talented dancer who struggles to reconnect with estranged family in the vibrant world of the entertainment industry.
Inferno,Hindi,7.0,2 h 26 min,2018.0,7+,The story follows an undercover agent who gets entangled in a dangerous political game in the vibrant world of the entertainment industry.
Crimson II,Bengali,5.4,2 h 48 min,1995.0,16+,The story follows a small-town teacher who seeks revenge after a devastating betrayal within the walls of a traditional joint family.
Raj's Dream,Tamil,8.5,2 h 33 min,2001.0,16+,The story follows a young musician who chases a lifelong dream against all odds in a bustling metropolitan city.
Vortex,Bengali,8.1,2 h 25 min,1983.0,All,The story follows a rookie police officer who tries to rebuild their life after tragedy across the sprawling countryside. The journey forces difficult choices with lasting consequences.
Rahul's Revenge,English,5.5,2 h 25 min,2017.0,18+,The story follows a small-town teacher who risks everything to save someone they love in a bustling metropolitan city.
Meera's Diary,Malayalam,7.1,1 h 51 min,2000.0,7+,The story follows a wealthy businessman who must confront a dark family secret in the years following independence.
Genesis Returns,Hindi,6.2,1 h 24 min,2008.0,16+,The story follows a famous chef who must confront a dark family secret in a bustling metropolitan city.
Rekha's Dream,Hindi,6.8,2 h 5 min,1994.0,16+,The story follows a grieving widow who uncovers the truth behind a decades-old mystery amid the chaos of a natural disaster.
Solace,Hindi,6.2,2 h 15 min,2003.0,13+,"The story follows a wealthy businessman who gets entangled in a dangerous political game across the sprawling countryside. What unfolds is a tale of courage, sacrifice, and hope."
Suresh's Revenge,English,7.9,2 h 48 min,2004.0,13+,The story follows a corporate executive who chases a lifelong dream against all odds in a quiet coastal village.
Arjun's Diary,Malayalam,5.8,1 h 54 min,2001.0,18+,The story follows a retired soldier who discovers a conspiracy that threatens everyone they love across the sprawling countryside. Friendships are tested and loyalties are questioned throughout.
Kavya's Story,Hindi,6.4,2 h 15 min,2009.0,18+,"The story follows a wealthy businessman who must confront a dark family secret within the walls of a traditional joint family. What unfolds is a tale of courage, sacrifice, and hope."
Harish Nair,Hindi,4.5,1 h 49 min,2015.0,18+,The story follows a talented dancer who fights to protect their community from a powerful enemy within the walls of a traditional joint family. The journey forces difficult choices with lasting consequences.
Amit Das,Tamil,5.0,2 h 48 min,1985.0,All,The story follows a retired soldier who gets entangled in a dangerous political game against the backdrop of a festival season.
The Wanderers,Malayalam,3.6,1 h 19 min,2021.0,13+,The story follows an aspiring writer who sets out on a journey of self-discovery against the backdrop of a festival season.
Pooja's Diary,Hindi,7.4,1 h 52 min,2016.0,18+,The story follows a college student who fights to protect their community from a powerful enemy amid the chaos of a natural disaster.
Vijay Kapoor,Hindi,6.7,2 h 46 min,2003.0,16+,The story follows a talented dancer who sets out on a journey of self-discovery during a turbulent political upheaval.
Crossed Paths,Tamil,7.8,1 h 16 min,2000.0,All,The story follows a talented dancer who discovers a conspiracy that threatens everyone they love in a bustling metropolitan city. The journey forces difficult choices with lasting consequences.
The Betrayal,Hindi,7.6,2 h 31 min,1991.0,13+,"The story follows a corporate executive who battles personal demons while chasing redemption during a turbulent political upheaval. Along the way, unexpected alliances are formed and tested."
Endless Night,English,7.2,2 h 9 min,2011.0,7+,The story follows a school principal who uncovers the truth behind a decades-old mystery in the vibrant world of the entertainment industry.
Anjali's Revenge,Hindi,6.2,1 h 48 min,2011.0,All,The story follows an aspiring writer who struggles to reconnect with estranged family.
Vijay Rathore,Telugu,5.4,2 h 49 min,2021.0,16+,The story follows a talented dancer who is forced to choose between duty and family against the backdrop of a festival season. The journey forces difficult choices with lasting consequences.
Golden Hour,Bengali,7.1,1 h 15 min,2001.0,18+,The story follows a small-town teacher who falls into a forbidden romance across the sprawling countryside.
Warpath Returns,English,7.3,1 h 30 min,1996.0,13+,The story follows a rebellious teenager who chases a lifelong dream against all odds within the walls of a traditional joint family. The narrative builds to an emotional and unforgettable climax.
Suresh Iyer,Marathi,8.8,3 h 1 min,1998.0,All,The story follows a famous chef who fights to protect their community from a powerful enemy within the walls of a traditional joint family.
Deepa Reddy,Tamil,5.6,1 h 59 min,1993.0,18+,The story follows a small-time con artist who uncovers the truth behind a decades-old mystery. Friendships are tested and loyalties are questioned throughout.
The Escape,Tamil,7.3,1 h 37 min,2023.0,18+,The story follows a rookie police officer who sets out on a journey of self-discovery amid the chaos of a natural disaster.
Destiny,English,5.9,2 h 2 min,2022.0,13+,"The story follows a young musician who struggles to reconnect with estranged family in the years following independence. What unfolds is a tale of courage, sacrifice, and hope."
Crimson 2,Gujarati,6.2,2 h 28 min,2019.0,18+,The story follows a talented dancer who struggles to reconnect with estranged family.
Silent Echo,Malayalam,6.7,2 h 24 min,2019.0,All,The story follows a young musician who struggles to reconnect with estranged family against the backdrop of a festival season.
Falling Leaves,Hindi,7.2,2 h 45 min,1983.0,All,The story follows a corporate executive who seeks revenge after a devastating betrayal during a turbulent political upheaval.
Vortex,Kannada,7.1,1 h 55 min,2022.0,All,The story follows a fishing boat captain who chases a lifelong dream against all odds amid the chaos of a natural disaster.
Nightfall Begins,Telugu,6.9,2 h 48 min,1998.0,All,The story follows a small-town teacher who seeks revenge after a devastating betrayal in the shadow of a rapidly changing society. The narrative builds to an emotional and unforgettable climax.
Thunder Begins,Malayalam,5.1,1 h 15 min,2000.0,13+,The story follows an ambitious lawyer who tries to rebuild their life after tragedy within the walls of a traditional joint family.
Karma,Bengali,6.9,1 h 26 min,1993.0,13+,The story follows a young musician who uncovers the truth behind a decades-old mystery against the backdrop of a festival season.
The Promise,English,6.0,2 h 47 min,2023.0,7+,The story follows a rookie police officer who chases a lifelong dream against all odds against the backdrop of a festival season. Friendships are tested and loyalties are questioned throughout.
Ananya Rao,Hindi,6.4,3 h 8 min,1994.0,18+,The story follows a college student who chases a lifelong dream against all odds within the walls of a traditional joint family. Friendships are tested and loyalties are questioned throughout.
Vijay Gupta,English,7.0,2 h 12 min,2020.0,16+,The story follows a single mother who must confront a dark family secret in the shadow of a rapidly changing society. The narrative builds to an emotional and unforgettable climax.
Rohan's Diary,English,6.5,2 h 44 min,2024.0,13+,The story follows a college student who discovers a conspiracy that threatens everyone they love across the sprawling countryside.
Rohan Singh,Hindi,5.6,2 h 21 min,2014.0,All,The story follows a struggling artist who sets out on a journey of self-discovery in the shadow of a rapidly changing society. The narrative builds to an emotional and unforgettable climax.
Warpath Reloaded,Marathi,7.1,3 h 10 min,1974.0,13+,The story follows an undercover agent who tries to rebuild their life after tragedy.
Painted Skies,English,6.9,1 h 38 min,2017.0,13+,The story follows a school principal who sets out on a journey of self-discovery in the shadow of a rapidly changing society.
Crimson Returns,Kannada,5.6,2 h 41 min,2004.0,All,The story follows a wealthy businessman who uncovers the truth behind a decades-old mystery across the sprawling countryside. Friendships are tested and loyalties are questioned throughout.
Vijay Joshi,Tamil,7.0,1 h 36 min,2022.0,18+,The story follows an aspiring writer who is forced to choose between duty and family in the shadow of a rapidly changing society.
The Confession,English,7.2,2 h 53 min,1990.0,7+,The story follows a rebellious teenager who falls into a forbidden romance within the walls of a traditional joint family. The journey forces difficult choices with lasting consequences.
Open Skies,English,6.1,1 h 45 min,2020.0,13+,The story follows a wealthy businessman who falls into a forbidden romance.
Arjun Das,Hindi,5.3,1 h 42 min,2022.0,16+,The story follows a small-time con artist who chases a lifelong dream against all odds during a turbulent political upheaval.
Reckoning,Hindi,6.0,1 h 32 min,2004.0,7+,The story follows a grieving widow who risks everything to save someone they love.
Silhouette Returns,Tamil,4.9,1 h 18 min,1995.0,16+,"The story follows a wealthy businessman who tries to rebuild their life after tragedy amid the chaos of a natural disaster. Along the way, unexpected alliances are formed and tested."
Rekha's Diary,Bengali,3.7,1 h 32 min,2008.0,All,The story follows a grieving widow who gets entangled in a dangerous political game in a quiet coastal village. The journey forces difficult choices with lasting consequences.
Mirage II,English,5.5,2 h 8 min,1993.0,13+,The story follows an aspiring writer who risks everything to save someone they love in a quiet coastal village.
Chameleon,Telugu,6.4,3 h 5 min,2004.0,18+,The story follows a single mother who tries to rebuild their life after tragedy against the backdrop of a festival season.
Requiem Returns,Hindi,5.7,1 h 21 min,2000.0,7+,The story follows an ambitious lawyer who struggles to reconnect with estranged family within the walls of a traditional joint family.
Vortex Reloaded,Punjabi,5.3,1 h 37 min,2024.0,13+,"The story follows a rebellious teenager who risks everything to save someone they love. Along the way, unexpected alliances are formed and tested."
Maya Rathore,Hindi,4.6,2 h 10 min,1981.0,7+,The story follows an ambitious lawyer who risks everything to save someone they love within the walls of a traditional joint family.
Silhouette,Telugu,4.8,1 h 58 min,2015.0,18+,"The story follows a young musician who fights to protect their community from a powerful enemy in the years following independence. What unfolds is a tale of courage, sacrifice, and hope."
Bombshell Returns,English,5.4,1 h 19 min,2009.0,13+,The story follows a single mother who discovers a conspiracy that threatens everyone they love across the sprawling countryside. The journey forces difficult choices with lasting consequences.
Uproar II,English,5.7,2 h 34 min,1997.0,18+,"The story follows an aspiring writer who struggles to reconnect with estranged family within the walls of a traditional joint family. What unfolds is a tale of courage, sacrifice, and hope."
Priya Nair,Telugu,6.5,2 h 20 min,2024.0,All,"The story follows a grieving widow who gets entangled in a dangerous political game in the vibrant world of the entertainment industry. What unfolds is a tale of courage, sacrifice, and hope."
Uproar,Punjabi,5.8,2 h 28 min,1997.0,7+,The story follows an aspiring writer who fights to protect their community from a powerful enemy during a turbulent political upheaval.
Odyssey,Tamil,7.1,2 h 43 min,2018.0,7+,The story follows a small-town teacher who struggles to reconnect with estranged family in the vibrant world of the entertainment industry.
Aditya Sharma,English,,2 h 8 min,2014.0,7+,The story follows a small-time con artist who struggles to reconnect with estranged family. The journey forces difficult choices with lasting consequences.
American Pie,Telugu,6.0,2 h 33 min,1999.0,16+,The story follows a small-time con artist who struggles to reconnect with estranged family in the vibrant world of the entertainment industry.
Anjali Joshi,Tamil,5.8,3 h,2006.0,13+,The story follows a talented dancer who is forced to choose between duty and family across the sprawling countryside.
Firestorm Returns,Hindi,7.1,1 h 25 min,2013.0,13+,The story follows a village farmer who discovers a conspiracy that threatens everyone they love during a turbulent political upheaval.
Divya's Wedding,English,6.2,2 h 34 min,2011.0,16+,The story follows a fishing boat captain who gets entangled in a dangerous political game in the vibrant world of the entertainment industry.
Inferno,Tamil,6.1,1 h 45 min,2003.0,13+,The story follows a rebellious teenager who struggles to reconnect with estranged family in a quiet coastal village. The journey forces difficult choices with lasting consequences.
Dusty Trails,Tamil,7.3,2 h 49 min,2024.0,13+,The story follows a village farmer who uncovers the truth behind a decades-old mystery during a turbulent political upheaval.
Aditya's Secret,Malayalam,7.9,2 h 40 min,2021.0,18+,The story follows an undercover agent who fights to protect their community from a powerful enemy across the sprawling countryside.
Rising Sun,Tamil,6.9,3 h 13 min,2021.0,13+,The story follows a young musician who fights to protect their community from a powerful enemy amid the chaos of a natural disaster.
The Inheritance,Marathi,5.2,2 h 38 min,2005.0,13+,The story follows a rookie police officer who must outsmart a ruthless rival to survive in a bustling metropolitan city.
The Escape,Telugu,4.9,1 h 17 min,2001.0,7+,The story follows a fishing boat captain who must outsmart a ruthless rival to survive within the walls of a traditional joint family.
Arjun Naidu,Marathi,5.3,2 h 25 min,2009.0,All,The story follows a single mother who sets out on a journey of self-discovery amid the chaos of a natural disaster.
Open Skies,Tamil,6.5,1 h 23 min,2021.0,7+,The story follows a small-time con artist who sets out on a journey of self-discovery during a turbulent political upheaval.
Whisper 3,Punjabi,6.9,1 h 29 min,2019.0,18+,The story follows a single mother who is forced to choose between duty and family within the walls of a traditional joint family.
Rambo,Malayalam,5.2,2 h 15 min,2021.0,All,The story follows a famous chef who seeks revenge after a devastating betrayal across the sprawling countryside. The narrative builds to an emotional and unforgettable climax.
Sanjay's Journey,English,7.0,1 h 22 min,1999.0,13+,The story follows a small-town teacher who tries to rebuild their life after tragedy in the vibrant world of the entertainment industry.
Manoj's Promise,English,6.8,3 h,2011.0,18+,The story follows a single mother who tries to rebuild their life after tragedy in the vibrant world of the entertainment industry.
Empty Streets,Malayalam,7.0,1 h 27 min,2001.0,16+,The story follows a small-time con artist who battles personal demons while chasing redemption within the walls of a traditional joint family.
Karan Menon,Telugu,5.5,1 h 50 min,2012.0,18+,"The story follows a struggling artist who fights to protect their community from a powerful enemy in the years following independence. What unfolds is a tale of courage, sacrifice, and hope."
Divya's Wedding,English,6.6,2 h 27 min,2013.0,13+,The story follows a small-time con artist who must outsmart a ruthless rival to survive in the years following independence. The journey forces difficult choices with lasting consequences.
The Reunion,English,6.1,1 h 42 min,2011.0,All,The story follows a young musician who seeks revenge after a devastating betrayal amid the chaos of a natural disaster.
Rahul's Promise,Telugu,6.1,1 h 59 min,2014.0,13+,The story follows an aspiring writer who tries to rebuild their life after tragedy across the sprawling countryside. Friendships are tested and loyalties are questioned throughout.
The Wanderers,Tamil,5.1,1 h 23 min,2002.0,7+,The story follows a wealthy businessman who falls into a forbidden romance in the years following independence.
Genesis,Hindi,7.4,2 h 27 min,2022.0,18+,The story follows an aspiring writer who battles personal demons while chasing redemption during a turbulent political upheaval.
Deepa Verma,English,6.1,2 h 25 min,2023.0,18+,The story follows a corporate executive who risks everything to save someone they love in a quiet coastal village.
Renegade,Tamil,6.7,1 h 47 min,2019.0,All,The story follows a wealthy businessman who is forced to choose between duty and family within the walls of a traditional joint family. The narrative builds to an emotional and unforgettable climax.
Anjali Rao,Hindi,6.5,3 h 10 min,1989.0,7+,The story follows a rookie police officer who is forced to choose between duty and family during a turbulent political upheaval.
Neha's Promise,Hindi,6.0,1 h 21 min,2000.0,16+,The story follows a rookie police officer who sets out on a journey of self-discovery in a quiet coastal village.
Shadows 2,Tamil,4.9,2 h 29 min,2005.0,18+,The story follows a small-time con artist who uncovers the truth behind a decades-old mystery. The narrative builds to an emotional and unforgettable climax.
Rambo II,Malayalam,6.4,2 h 18 min,2013.0,7+,The story follows a talented dancer who fights to protect their community from a powerful enemy in the years following independence.
Aditya Pandey,Hindi,5.4,2 h 11 min,1988.0,18+,The story follows a single mother who sets out on a journey of self-discovery in a bustling metropolitan city. The narrative builds to an emotional and unforgettable climax.
Guardian 3,Hindi,5.9,2 h 41 min,2000.0,18+,The story follows a small-time con artist who tries to rebuild their life after tragedy.
Hidden Truths,Malayalam,6.6,1 h 55 min,2018.0,13+,The story follows a grieving widow who battles personal demons while chasing redemption in the shadow of a rapidly changing society. The journey forces difficult choices with lasting consequences.
Ananya Malhotra,Malayalam,7.6,3 h 4 min,1991.0,16+,The story follows an undercover agent who fights to protect their community from a powerful enemy within the walls of a traditional joint family.
Legacy 3,Bengali,6.9,1 h 33 min,2000.0,16+,The story follows an undercover agent who sets out on a journey of self-discovery in the years following independence.
Nightfall 2,Malayalam,5.6,2 h 7 min,2002.0,18+,The story follows a small-time con artist who uncovers the truth behind a decades-old mystery in the years following independence. The journey forces difficult choices with lasting consequences.
The Confession,Telugu,5.6,2 h 56 min,2003.0,13+,The story follows a rookie police officer who uncovers the truth behind a decades-old mystery during a turbulent political upheaval.
Legacy 2,Hindi,7.0,2 h 47 min,2007.0,16+,The story follows a talented dancer who must confront a dark family secret. Friendships are tested and loyalties are questioned throughout.
Endless Night,Gujarati,6.6,1 h 58 min,1998.0,13+,"The story follows a grieving widow who discovers a conspiracy that threatens everyone they love within the walls of a traditional joint family. Along the way, unexpected alliances are formed and tested."
Nikhil Pillai,Kannada,6.4,2 h 30 min,1999.0,All,The story follows a retired soldier who sets out on a journey of self-discovery during a turbulent political upheaval. The narrative builds to an emotional and unforgettable climax.
Anjali Mehta,Kannada,7.5,3 h 6 min,2018.0,16+,The story follows an undercover agent who risks everything to save someone they love amid the chaos of a natural disaster.
Eclipse 3,English,7.8,2 h 1 min,2001.0,16+,The story follows a college student who seeks revenge after a devastating betrayal in the shadow of a rapidly changing society.
Wanderer,Hindi,5.3,1 h 21 min,2020.0,All,The story follows an aspiring writer who tries to rebuild their life after tragedy in a bustling metropolitan city.
Mayhem,Marathi,7.1,2 h 23 min,2008.0,13+,The story follows a retired soldier who chases a lifelong dream against all odds in a quiet coastal village.
Nikhil's Story,Tamil,6.6,3 h 13 min,2007.0,16+,The story follows a rookie police officer who uncovers the truth behind a decades-old mystery in a quiet coastal village.
Legacy Returns,English,5.9,2 h 49 min,1991.0,7+,The story follows a single mother who must outsmart a ruthless rival to survive in the shadow of a rapidly changing society. The narrative builds to an emotional and unforgettable climax.
Bombshell Returns,Tamil,,3 h 1 min,2004.0,All,The story follows an undercover agent who gets entangled in a dangerous political game against the backdrop of a festival season. The journey forces difficult choices with lasting consequences.
Deepa's Secret,Tamil,6.9,3 h 13 min,2002.0,18+,The story follows a fishing boat captain who falls into a forbidden romance during a turbulent political upheaval.
Burning Bridges,Hindi,,2 h 32 min,2023.0,All,The story follows a struggling artist who fights to protect their community from a powerful enemy amid the chaos of a natural disaster.
Simran Bose,Bengali,8.2,1 h 40 min,2000.0,13+,The story follows a college student who is forced to choose between duty and family during a turbulent political upheaval.
Wanderer,Marathi,8.2,1 h 18 min,2006.0,16+,The story follows a rookie police officer who gets entangled in a dangerous political game in a bustling metropolitan city.
Shadows 3,Malayalam,8.2,1 h 30 min,1986.0,All,The story follows a fishing boat captain who chases a lifelong dream against all odds across the sprawling countryside. The journey forces difficult choices with lasting consequences.
Guardian,Malayalam,7.4,1 h 41 min,2024.0,18+,The story follows a village farmer who sets out on a journey of self-discovery in the years following independence.
Bombshell 2,English,6.3,3 h 4 min,1987.0,13+,The story follows a grieving widow who risks everything to save someone they love in a quiet coastal village.
Kavya Iyer,Telugu,6.4,1 h 50 min,2016.0,18+,"The story follows a small-town teacher who falls into a forbidden romance during a turbulent political upheaval. Along the way, unexpected alliances are formed and tested."
The Wanderers,Hindi,6.2,2 h 52 min,1980.0,13+,The story follows a rookie police officer who risks everything to save someone they love. The narrative builds to an emotional and unforgettable climax.
Ashes Returns,Hindi,8.1,2 h 58 min,2014.0,13+,The story follows an ambitious lawyer who uncovers the truth behind a decades-old mystery against the backdrop of a festival season. The journey forces difficult choices with lasting consequences.
Rahul Gupta,Marathi,5.9,1 h 56 min,1979.0,All,The story follows a young musician who battles personal demons while chasing redemption within the walls of a traditional joint family. The journey forces difficult choices with lasting consequences.
Hippi Reloaded,English,5.7,1 h 16 min,2002.0,7+,The story follows a famous chef who discovers a conspiracy that threatens everyone they love in a quiet coastal village.
Nightfall Reloaded,English,6.2,2 h 58 min,2013.0,7+,The story follows a talented dancer who battles personal demons while chasing redemption in the years following independence. The narrative builds to an emotional and unforgettable climax.
Rekha Reddy,Tamil,6.7,1 h 43 min,2009.0,18+,"The story follows a struggling artist who is forced to choose between duty and family. Along the way, unexpected alliances are formed and tested."
Inferno Reloaded,Hindi,5.7,1 h 38 min,2016.0,7+,The story follows a small-time con artist who must outsmart a ruthless rival to survive in the shadow of a rapidly changing society.
Raj's Wedding,Malayalam,4.9,2 h 29 min,2017.0,18+,The story follows a rebellious teenager who must outsmart a ruthless rival to survive in a bustling metropolitan city.
Love Birds,Hindi,7.1,2 h 56 min,1996.0,13+,The story follows a young musician who struggles to reconnect with estranged family within the walls of a traditional joint family.
Rohan Rathore,English,5.5,2 h 11 min,1988.0,7+,The story follows an aspiring writer who battles personal demons while chasing redemption amid the chaos of a natural disaster. The journey forces difficult choices with lasting consequences.
Karan Das,Malayalam,6.5,1 h 27 min,2014.0,7+,The story follows an aspiring writer who seeks revenge after a devastating betrayal in a quiet coastal village.
Genesis 2,Punjabi,6.5,1 h 29 min,1988.0,16+,The story follows a struggling artist who risks everything to save someone they love amid the chaos of a natural disaster. Friendships are tested and loyalties are questioned throughout.
Ravi's Dream,English,7.5,2 h 20 min,1994.0,18+,"The story follows a wealthy businessman who uncovers the truth behind a decades-old mystery in a bustling metropolitan city. What unfolds is a tale of courage, sacrifice, and hope."
Rekha's Dream,Tamil,7.6,2 h 24 min,1996.0,18+,The story follows an aspiring writer who falls into a forbidden romance amid the chaos of a natural disaster. The journey forces difficult choices with lasting consequences.
Kavya's Dream,Tamil,6.7,2 h 9 min,2020.0,7+,The story follows a rebellious teenager who seeks revenge after a devastating betrayal in the vibrant world of the entertainment industry.
Serenade Returns,English,6.2,2 h 45 min,2010.0,7+,The story follows a school principal who struggles to reconnect with estranged family in a quiet coastal village. Friendships are tested and loyalties are questioned throughout.
Winter Sun,Tamil,6.7,2 h 58 min,2024.0,18+,The story follows a rebellious teenager who uncovers the truth behind a decades-old mystery against the backdrop of a festival season.
Destiny 3,Hindi,6.7,1 h 32 min,2021.0,All,The story follows a fishing boat captain who must outsmart a ruthless rival to survive against the backdrop of a festival season. The journey forces difficult choices with lasting consequences.
Nikhil Bose,Hindi,9.0,1 h 54 min,2009.0,18+,The story follows a school principal who sets out on a journey of self-discovery during a turbulent political upheaval.
Harish Reddy,Tamil,7.6,2 h 51 min,2022.0,7+,The story follows a college student who must confront a dark family secret in the vibrant world of the entertainment industry.
Meera Singh,English,8.2,2 h 45 min,2015.0,18+,The story follows a grieving widow who is forced to choose between duty and family across the sprawling countryside. The narrative builds to an emotional and unforgettable climax.
Simran's Secret,Hindi,4.6,2 h 10 min,2005.0,16+,The story follows a college student who risks everything to save someone they love in the years following independence.
Karan's Diary,Telugu,6.4,2 h,1985.0,All,The story follows a talented dancer who is forced to choose between duty and family in the shadow of a rapidly changing society.
Pooja's Wedding,Hindi,5.9,3 h 2 min,2011.0,16+,"The story follows a rebellious teenager who must confront a dark family secret in the shadow of a rapidly changing society. Along the way, unexpected alliances are formed and tested."
Meera's Story,Punjabi,4.9,2 h 29 min,2015.0,18+,The story follows a famous chef who risks everything to save someone they love in the vibrant world of the entertainment industry.
Chameleon,Telugu,4.2,1 h 19 min,2023.0,18+,The story follows a famous chef who must outsmart a ruthless rival to survive in a bustling metropolitan city. The journey forces difficult choices with lasting consequences.
Catalyst,Bengali,6.8,3 h 12 min,2005.0,All,"The story follows a small-time con artist who risks everything to save someone they love in the years following independence. What unfolds is a tale of courage, sacrifice, and hope."
Kavya Rao,English,3.0,1 h 48 min,2018.0,All,The story follows a corporate executive who uncovers the truth behind a decades-old mystery across the sprawling countryside.
Chameleon 3,Kannada,7.2,1 h 57 min,2002.0,13+,"The story follows a wealthy businessman who tries to rebuild their life after tragedy in the years following independence. Along the way, unexpected alliances are formed and tested."
Rebirth Reloaded,Tamil,5.7,2 h 45 min,2008.0,7+,The story follows a small-time con artist who battles personal demons while chasing redemption amid the chaos of a natural disaster.
Sweet Revenge,Hindi,6.9,1 h 54 min,2022.0,16+,The story follows a corporate executive who seeks revenge after a devastating betrayal across the sprawling countryside.
Aftermath Begins,Hindi,5.7,2 h 39 min,2004.0,7+,The story follows an undercover agent who fights to protect their community from a powerful enemy amid the chaos of a natural disaster. Friendships are tested and loyalties are questioned throughout.
Inferno,Telugu,3.9,1 h 56 min,2024.0,13+,"The story follows a small-town teacher who is forced to choose between duty and family across the sprawling countryside. What unfolds is a tale of courage, sacrifice, and hope."
Guardian,Hindi,6.7,2 h 11 min,2014.0,7+,The story follows a young musician who seeks revenge after a devastating betrayal during a turbulent political upheaval.
Neha's Promise,English,8.5,2 h 27 min,1993.0,All,The story follows an aspiring writer who struggles to reconnect with estranged family in the vibrant world of the entertainment industry.
Firestorm Begins,Malayalam,6.7,2 h 1 min,2022.0,18+,The story follows an undercover agent who fights to protect their community from a powerful enemy amid the chaos of a natural disaster. The journey forces difficult choices with lasting consequences.
Simran Chopra,Malayalam,5.2,1 h 27 min,2024.0,18+,The story follows an aspiring writer who chases a lifelong dream against all odds within the walls of a traditional joint family.
Silhouette,Hindi,5.4,3 h,2024.0,13+,The story follows a fishing boat captain who risks everything to save someone they love in a bustling metropolitan city.
Guardian Reloaded,English,3.4,1 h 36 min,1977.0,13+,The story follows a small-town teacher who battles personal demons while chasing redemption amid the chaos of a natural disaster.
Last Stand,Telugu,6.0,3 h 9 min,2016.0,16+,The story follows a talented dancer who gets entangled in a dangerous political game against the backdrop of a festival season.
The Confession,English,4.9,2 h 41 min,2000.0,7+,The story follows an aspiring writer who gets entangled in a dangerous political game against the backdrop of a festival season.
Karan's Journey,Punjabi,6.3,2 h 54 min,2024.0,16+,The story follows an aspiring writer who gets entangled in a dangerous political game against the backdrop of a festival season.
The Reunion,Malayalam,4.8,3 h 1 min,1993.0,16+,"The story follows a talented dancer who chases a lifelong dream against all odds in a quiet coastal village. Along the way, unexpected alliances are formed and tested."
